Iteration,Time_Bulk_Loading,Time_Candidate_Retrieval
1,3.2274,0
2,3.1189,0
3,3.44377,0
4,3.20679,0.014644
5,3.30553,0
6,3.14454,0
7,3.18235,0
8,3.02106,0
9,3.2891,0.015006
10,3.02257,0
11,3.09965,0
12,3.02814,0
13,3.08898,0
14,3.04518,0
15,3.15772,0.005411
16,3.02092,0
17,3.07074,0
18,3.16369,0.000961
19,3.22515,0.000786
20,3.02329,0
21,3.18853,0
22,3.08919,0
23,3.08699,0
24,3.06923,0
25,3.01463,0
26,3.11619,0.004012
27,3.02599,0
28,3.07184,0
29,3.1459,0
30,3.21556,0
31,2.9803,0
32,3.34329,0.001649
33,3.35697,0
34,3.28993,0
35,2.90585,0
36,2.98929,0.000554
37,2.93496,0
38,3.08878,0.000653
39,2.91718,0
40,2.95543,0
41,3.04125,0
42,3.0465,0
43,3.58131,0
44,3.03922,0
45,2.89956,0
46,3.04117,0
47,2.89059,0
48,2.98896,0
49,3.27123,0.015626
50,3.05726,0
