Iteration,Time_Bulk_Loading,Time_Candidate_Retrieval
1,80.6324,0.196323
2,80.6858,0.196229
3,80.719,0.196298
4,80.6322,0.196182
5,81.0313,0.196187
6,81.9339,0.227343
7,81.0912,0.244586
8,80.5246,0.196157
9,80.6909,0.196544
10,81.1086,0.196194
11,80.6127,0.196663
12,81.6911,0.196278
13,80.6487,0.196142
14,82.1921,0.196234
15,80.8138,0.196315
16,80.9281,0.196528
17,80.8335,0.196177
18,81.1284,0.196933
19,80.9096,0.196398
20,80.9275,0.203482
21,81.2,0.199709
22,80.723,0.196099
23,81.5672,0.261921
24,80.6087,0.196495
25,81.5836,0.196159
26,81.1323,0.253912
27,80.7552,0.19636
28,81.4045,0.209743
29,81.2356,0.239713
30,81.3248,0.196501
31,81.607,0.196318
32,81.0533,0.263863
33,82.0939,0.255122
34,81.0445,0.196485
35,80.5499,0.196116
36,81.1448,0.198432
37,81.203,0.225632
38,80.7841,0.196474
39,81.3116,0.202178
40,80.6903,0.196008
41,82.0506,0.223057
42,81.04,0.196509
43,81.2856,0.261932
44,80.8052,0.196074
45,81.0749,0.196322
46,80.4264,0.196523
47,80.5484,0.199517
48,81.1827,0.196229
49,80.7024,0.196594
50,81.0449,0.196007
