Iteration,Time_Bulk_Loading,Time_Candidate_Retrieval
1,3.1854,0
2,3.13663,0
3,3.05749,0
4,3.11365,0
5,3.08432,0.000999
6,3.16163,0
7,3.24797,0
8,3.05643,0
9,3.18063,0
10,3.09033,0
11,3.09538,0.001
12,2.99428,0.011527
13,3.15348,0
14,3.10022,0
15,3.1336,0
16,3.09182,0
17,3.12214,0
18,3.16623,0
19,3.08665,0
20,3.06708,0
21,3.01624,0.001116
22,3.0891,0
23,3.16007,0
24,3.33322,0
25,3.39942,0
26,3.06934,0
27,3.01294,0
28,3.16028,0
29,3.08284,0
30,3.06992,0.01254
31,3.10721,0.01564
32,3.21646,0
33,3.02285,0
34,3.07409,0
35,3.09732,0
36,3.06332,0
37,3.08488,0
38,3.07637,0
39,3.02949,0
40,3.11455,0
41,3.20474,0.001275
42,3.01871,0
43,3.0843,0
44,3.09039,0
45,3.01355,0
46,3.08081,0
47,3.11785,0.001045
48,4.96263,0
49,3.00981,0
50,3.07428,0
