Iteration,Time_Bulk_Loading,Time_Candidate_Retrieval
1,3.25886,0.002001
2,3.17971,0
3,3.28337,0
4,3.23167,0.008012
5,3.00894,0
6,3.73345,0
7,3.325,0
8,2.99069,0
9,3.10964,0
10,3.06229,0
11,3.06324,0
12,3.13278,0
13,3.14205,0.001724
14,3.08283,0.001516
15,3.12115,0
16,3.09426,0
17,3.27169,0
18,3.47117,0.000921
19,3.27627,0
20,3.15157,0
21,3.06794,0.014026
22,3.10337,0
23,3.33247,0.008018
24,3.08326,0.01501
25,3.08479,0.009243
26,3.18603,0.000126
27,3.06307,0
28,3.07707,0.011569
29,3.0939,0.002074
30,3.0247,0
31,3.17587,0.002744
32,3.24932,0
33,3.04111,0
34,3.11735,0
35,3.11726,0
36,2.99354,0.003006
37,3.09763,0
38,3.1129,0.00536
39,3.13514,0
40,3.17142,0
41,3.09599,0
42,3.03355,0
43,3.09235,0
44,3.06382,0
45,3.03725,0
46,3.11213,0.00209
47,3.08749,0
48,3.04604,0
49,3.14426,0
50,3.24994,0.016088
