Iteration,Time_Bulk_Loading,Time_Candidate_Retrieval
1,17.9507,0.0177654
2,17.8813,0.0179282
3,18.0498,0.0178143
4,17.7519,0.0179459
5,18.2009,0.0180044
6,18.1978,0.0178866
7,18.1644,0.0177702
8,18.0204,0.0178559
9,17.9677,0.0178227
10,18.1512,0.0178954
11,18.0826,0.017853
12,17.8194,0.0178499
13,17.9888,0.0179568
14,17.853,0.0178999
15,17.9701,0.0178248
16,18.012,0.0179308
17,18.3006,0.0179684
18,18.4571,0.0178663
19,17.9456,0.0178802
20,18.1378,0.0182649
21,17.7898,0.0178104
22,17.8951,0.0178694
23,18.5388,0.0178679
24,17.7801,0.0178847
25,17.87,0.0179151
26,17.6576,0.0179074
27,17.9456,0.0179499
28,17.9618,0.0178226
29,17.8769,0.0178771
30,17.9339,0.0178803
31,17.8758,0.0178602
32,18.4353,0.0178479
33,17.8864,0.0182651
34,17.9247,0.0178305
35,17.7705,0.0178147
36,17.7924,0.0178371
37,18.1319,0.0179745
38,18.1817,0.0178481
39,18.0611,0.0179076
40,17.8338,0.0177999
41,18.14,0.0178943
42,18.1079,0.0179069
43,18.1653,0.0177373
44,17.8708,0.0178454
45,17.8488,0.0178646
46,17.8713,0.0178462
47,18.4421,0.0178863
48,17.6501,0.0177916
49,18.5625,0.017845
50,18.1184,0.01784
