Iteration,Time_Bulk_Loading,Time_Candidate_Retrieval_Short, Time_Candidate_Retrieval_Medium, Time_Candidate_Retrieval_Long
1,1.67722,0.000394966,0.000528937,0.000528937
2,1.67348,0.000380067,0.000541818,0.000541818
3,1.67652,0.000402454,0.000525191,0.000525191
4,1.66547,0.000385729,0.000544536,0.000544536
5,1.64922,0.000383145,0.000523476,0.000523476
6,1.65921,0.000644942,0.000524544,0.000524544
7,1.63723,0.000384191,0.000536748,0.000536748
8,1.67635,0.000385402,0.000521121,0.000521121
9,1.65879,0.000389607,0.000533906,0.000533906
10,1.68243,0.000382503,0.000522731,0.000522731
11,1.67272,0.000408207,0.000530172,0.000530172
12,1.66811,0.000382485,0.000523266,0.000523266
13,1.65817,0.000383207,0.000541195,0.000541195
14,1.67445,0.00039188,0.000533772,0.000533772
15,1.68991,0.000397248,0.000523131,0.000523131
16,1.69362,0.000381904,0.000520721,0.000520721
17,1.6994,0.000386501,0.000529173,0.000529173
18,1.69923,0.000407513,0.000522992,0.000522992
19,1.66263,0.000409552,0.000534943,0.000534943
20,1.63804,0.000383445,0.000528741,0.000528741
21,1.64307,0.00040842,0.000525357,0.000525357
22,1.63464,0.000386532,0.000537005,0.000537005
23,1.6819,0.000397654,0.000533837,0.000533837
24,1.67499,0.000385013,0.000524759,0.000524759
25,1.6618,0.000384944,0.000538274,0.000538274
26,1.68349,0.000402443,0.000526148,0.000526148
27,1.70036,0.000398926,0.000527485,0.000527485
28,1.65472,0.000386537,0.000531738,0.000531738
29,1.66339,0.000394189,0.000524578,0.000524578
30,1.6627,0.00038388,0.000778113,0.000778113
31,1.68432,0.000383422,0.000545135,0.000545135
32,1.69638,0.000411257,0.000536312,0.000536312
33,1.67659,0.000381449,0.000535973,0.000535973
34,1.72186,0.000387174,0.000529833,0.000529833
35,1.64422,0.000387308,0.000531493,0.000531493
36,1.65935,0.000388815,0.000528488,0.000528488
37,1.65589,0.000402274,0.000530463,0.000530463
38,1.66484,0.000382491,0.000531609,0.000531609
39,1.66179,0.000409031,0.000519171,0.000519171
40,1.70252,0.000385521,0.00052148,0.00052148
41,1.64418,0.000414896,0.000539906,0.000539906
42,1.66404,0.000412223,0.000520534,0.000520534
43,1.68561,0.000425892,0.000533073,0.000533073
44,1.65092,0.000397246,0.00052562,0.00052562
45,1.69227,0.00038836,0.000537372,0.000537372
46,2.21679,0.000380804,0.000525519,0.000525519
47,1.69925,0.000390613,0.000548115,0.000548115
48,1.64791,0.000402126,0.000531343,0.000531343
49,1.65184,0.000411658,0.00052623,0.00052623
50,1.68604,0.000414884,0.000528473,0.000528473
