Iteration,Time_Bulk_Loading,Time_Candidate_Retrieval
1,3.77707,0
2,3.67108,0
3,3.33554,0
4,3.36194,0.000801
5,3.17575,0
6,3.1833,0
7,3.41667,0
8,3.18337,0.000695
9,3.23345,0
10,3.26696,0
11,3.08189,0
12,3.21647,0
13,3.35874,0
14,3.14814,0.002357
15,3.21962,0
16,3.72342,0
17,3.48332,0.015943
18,3.21658,0
19,3.56747,0
20,3.26241,0
21,3.46659,0
22,3.27047,0
23,3.21448,0.000813
24,3.24314,0
25,3.16243,0.012008
26,3.17959,0.003076
27,3.15411,0
28,3.16393,0
29,3.22004,0
30,3.15151,0.000699
31,3.19889,0
32,3.1782,0
33,3.29208,0
34,3.1263,0
35,3.22039,0
36,3.20896,0
37,3.11667,0
38,3.27511,0
39,3.36668,0
40,3.11674,0
41,3.24444,0
42,3.23282,0
43,3.09632,0.001459
44,3.18191,0
45,3.22494,0
46,3.1838,0
47,3.19896,0.005506
48,3.19984,0
49,3.1834,0
50,3.23327,0.011006
