Iteration,Time_Bulk_Loading,Time_Candidate_Retrieval
1,3.70003,0
2,3.73443,0
3,3.68078,0
4,3.38363,0
5,3.48151,0
6,3.16172,0.000896
7,3.14189,0
8,3.15063,0
9,3.38368,0.000936
10,3.13713,0
11,3.17927,0
12,3.29888,0
13,3.22532,0
14,3.16922,0
15,3.26341,0
16,3.13819,0
17,3.13638,0
18,5.13149,0
19,3.34995,0
20,3.86257,0
21,3.65068,0
22,3.27455,0.001308
23,3.21646,0.010521
24,3.21842,0
25,3.24841,0
26,3.28414,0
27,3.46484,0
28,3.30827,0
29,3.22404,0.008561
30,3.10365,0
31,3.19804,0
32,3.20002,0
33,3.24557,0.003346
34,3.25036,0
35,3.41222,0
36,3.4829,0
37,3.61817,0
38,3.53392,0
39,3.71093,0
40,3.41763,0.007594
41,3.46045,0
42,3.50704,0
43,3.44888,0
44,3.49297,0
45,3.40642,0
46,3.71235,0
47,3.39178,0
48,3.51716,0
49,3.41357,0
50,3.48226,0
